mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos
592091,A.J. Achter,P,LAA,Los Angeles Angels,R,R,1988,66919,achteaj01,A.J. Achter,2146207,A.J. Achter,RP,33637,A.J. Achter,RP,11387,A.J. Achter,P,achteaj01,9824,A.J. Achter,P,achta001,A.J. Achter,20140903,9824,A.J. Achter,18093,A.J. Achter,RP,,,
595918,A.J. Cole,P,CLE,Cleveland Indians,R,R,1992,68086,coleaj01,A.J. Cole,1839916,A.J. Cole,RP,31595,A.J. Cole,RP,11467,A.J. Cole,P,coleaj01,9638,A.J. Cole,P,colea002,A.J. Cole,20150428,9638,A.J. Cole,14940,A.J. Cole,RP,11446,A.J. Cole,P
456167,A.J. Griffin,P,TEX,Texas Rangers,R,R,1988,65757,griffaj01,A.J. Griffin,1974327,A.J. Griffin,SP,32559,A.J. Griffin,SP,11132,A.J. Griffin,P,griffaj01,9220,A.J. Griffin,P,grifa002,A.J. Griffin,20120624,9220,A.J. Griffin,13764,A.J. Griffin,RP,12410,A.J. Griffin,P
621345,A.J. Minter,P,ATL,Atlanta Braves,L,L,1993,108235,minteaj01,A.J. Minter,2449982,A.J. Minter,RP,36133,A.J. Minter,RP,18655,A.J. Minter,P,minteaj01,10794,A.J. Minter,P,minta001,A.J. Minter,20170823,10794,A.J. Minter,23679,A.J. Minter,RP,13889,A.J. Minter,P
571963,A.J. Morris,P,CIN,Cincinnati Reds,R,R,1986,60630,morriaj01,A.J. Morris,2119768,A.J. Morris,RP,31602,A.J. Morris,RP,9919,A.J. Morris,P,morriaj01,10301,A.J. Morris,P,morra002,A.J. Morris,20160524,10301,A.J. Morris,12432,A.J. Morris,RP,11065,A.J. Morris,P
640462,A.J. Puk,P,OAK,Oakland Athletics,L,L,1995,109027,pukaj01,A.J. Puk,2250620,A.J. Puk,RP,36201,A.J. Puk,SP,19343,A.J. Puk,P,,10548,A.J. Puk,P,,,20190821,,,23660,A.J. Puk,SP/RP,,,
519263,A.J. Schugel,P,PIT,Pittsburgh Pirates,R,R,1989,65910,schugaj01,A.J. Schugel,1953535,A.J. Schugel,RP,32202,A.J. Schugel,RP,11432,A.J. Schugel,P,schugaj01,9927,A.J. Schugel,P,schua001,A.J. Schugel,20150412,9927,A.J. Schugel,13794,AJ Schugel,RP,12445,A.J. Schugel,P
502578,Aaron Barrett,P,WSH,Washington Nationals,R,R,1988,65829,barreaa01,Aaron Barrett,2052550,Aaron Barrett,RP,33005,Aaron Barrett,RP,11243,Aaron Barrett,P,barreaa01,9650,Aaron Barrett,P,barra001,Aaron Barrett,20140331,9650,Aaron Barrett,13631,Aaron Barrett,RP,11603,Aaron Barrett,P
594760,Aaron Blair,P,ATL,Atlanta Braves,R,R,1992,68746,blairaa01,Aaron Blair,2066705,Aaron Blair,SP,33186,Aaron Blair,SP,14934,Aaron Blair,P,blairaa01,9852,Aaron Blair,P,blaia001,Aaron Blair,20160424,9852,Aaron Blair,18428,Aaron Blair,RP,12970,Aaron Blair,P
605156,Aaron Brooks,P,BAL,Baltimore Orioles,R,R,1990,69523,brookaa01,Aaron Brooks,2113510,Aaron Brooks,SP,33124,Aaron Brooks,SP,12272,Aaron Brooks,P,brookaa01,9668,Aaron Brooks,P,brooa001,Aaron Brooks,20140503,9668,Aaron Brooks,18519,Aaron Brooks,SP/RP,13292,Aaron Brooks,P
607481,Aaron Bummer,P,CWS,Chicago White Sox,L,L,1993,71057,bummeaa01,Aaron Bummer,2637180,Aaron Bummer,RP,36131,Aaron Bummer,RP,16258,Aaron Bummer,P,bummeaa01,10773,Aaron Bummer,P,bumma001,Aaron Bummer,20170727,10773,Aaron Bummer,29222,Aaron Bummer,RP,15148,Aaron Bummer,P
650644,Aaron Civale,P,CLE,Cleveland Indians,R,R,1995,107636,civalaa01,Aaron Civale,3139375,Aaron Civale,SP,40934,Aaron Civale,SP,19479,Aaron Civale,P,,10869,Aaron Civale,P,,,20190622,,,31750,Aaron Civale,SP,,,
543070,Aaron Crow,P,MIA,Miami Marlins,R,R,1986,61058,crowaa01,Aaron Crow,1707904,Aaron Crow,RP,30495,Aaron Crow,RP,10149,Aaron Crow,P,crowaa01,8662,Aaron Crow,P,crowa001,Aaron Crow,20110331,8662,Aaron Crow,8689,Aaron Crow,RP,10349,Aaron Crow,P
421685,Aaron Harang,P,PHI,Philadelphia Phillies,R,R,1978,932,haranaa01,Aaron Harang,306411,Aaron Harang,SP,5181,Aaron Harang,SP,1451,Aaron Harang,P,haranaa01,6936,Aaron Harang,P,haraa001,Aaron Harang,20020525,6936,Aaron Harang,8829,Aaron Harang,RP,7107,Aaron Harang,P
444836,Aaron Laffey,P,ARI,Arizona Diamondbacks,L,L,1985,46279,laffeaa01,Aaron Laffey,1200054,Aaron Laffey,RP,28835,Aaron Laffey,SP,6248,Aaron Laffey,P,laffeaa01,8075,Aaron Laffey,P,laffa001,Aaron Laffey,20070804,8075,Aaron Laffey,3464,Aaron Laffey,SP/RP,7693,Aaron Laffey,P
571901,Aaron Loup,P,SD,San Diego Padres,L,L,1987,60619,loupaa01,Aaron Loup,1960798,Aaron Loup,RP,32397,Aaron Loup,RP,10343,Aaron Loup,P,loupaa01,9236,Aaron Loup,P,loupa001,Aaron Loup,20120714,9236,Aaron Loup,6008,Aaron Loup,RP,12617,Aaron Loup,P
605400,Aaron Nola,P,PHI,Philadelphia Phillies,R,R,1993,70943,nolaaa01,Aaron Nola,2133925,Aaron Nola,SP,33709,Aaron Nola,SP,16149,Aaron Nola,P,nolaaa01,9882,Aaron Nola,P,nolaa001,Aaron Nola,20150721,9882,Aaron Nola,18357,Aaron Nola,SP,13359,Aaron Nola,P
519145,Aaron Poreda,P,TEX,Texas Rangers,L,L,1986,57147,poredaa01,Aaron Poreda,1629160,Aaron Poreda,SP,30009,Aaron Poreda,RP,4313,Aaron Poreda,P,poredaa01,8391,Aaron Poreda,P,porea001,Aaron Poreda,20090612,8391,Aaron Poreda,7746,Aaron Poreda,RP,9786,Aaron Poreda,P
592717,Aaron Sanchez,P,HOU,Houston Astros,R,R,1992,67107,sanchaa01,Aaron Sanchez,1757987,Aaron Sanchez,SP,31254,Aaron Sanchez,SP,11490,Aaron Sanchez,P,sanchaa01,9635,Aaron Sanchez,P,sanca006,Aaron Sanchez,20140723,9635,Aaron Sanchez,14401,Aaron Sanchez,SP,11452,Aaron Sanchez,P
642083,Aaron Slegers,P,TB,Tampa Bay Rays,R,R,1992,102744,slegeaa01,Aaron Slegers,2592846,Aaron Slegers,RP,36179,Aaron Slegers,SP,15231,Aaron Slegers,P,slegeaa01,10788,Aaron Slegers,P,slega001,Aaron Slegers,20170817,10788,Aaron Slegers,19332,Aaron Slegers,SP/RP,14656,Aaron Slegers,P
457744,Aaron Thompson,P,MIN,Minnesota Twins,L,L,1987,49018,thompaa01,Aaron Thompson,1199460,Aaron Thompson,RP,29775,Aaron Thompson,RP,999,Aaron Thompson,,thompaa01,9025,Aaron Thompson,P,thoma003,Aaron Thompson,20110824,9025,Aaron Thompson,2054,Aaron Thompson,RP,8667,Aaron Thompson,P
658792,Aaron Wilkerson,P,MIL,Milwaukee Brewers,R,R,1989,105362,wilkeaa01,Aaron Wilkerson,2245943,Aaron Wilkerson,RP,36001,Aaron Wilkerson,RP,16904,Aaron Wilkerson,P,wilkeaa01,10832,Aaron Wilkerson,P,wilka003,Aaron Wilkerson,20170915,10832,Aaron Wilkerson,21883,Aaron Wilkerson,SP/RP,14229,Aaron Wilkerson,P
